Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2667;Köln/Bonn;PM;09.09.2023;11.09.2023;3;;eor;                                                                                                                                                         
2667;Köln/Bonn;PM;17.09.2023;17.09.2023;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;PM;27.09.2023;28.09.2023;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;PM;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;PM;11.06.2025;11.06.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;20.01.1971;10.03.1971;50;;eor;                                                                                                                                                        
2667;Köln/Bonn;FM;23.03.1993;23.03.1993;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;08.12.1993;09.12.1993;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;08.09.2001;09.09.2001;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;15.02.2006;16.02.2006;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;03.06.2016;08.06.2016;6;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;24.03.2021;24.03.2021;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;18.08.2023;18.08.2023;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;08.09.2023;11.09.2023;4;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;16.09.2023;17.09.2023;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;26.09.2023;28.09.2023;3;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;11.06.2025;11.06.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FM;04.08.2025;05.08.2025;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;20.01.1971;10.03.1971;50;;eor;                                                                                                                                                        
2667;Köln/Bonn;FX;23.03.1993;23.03.1993;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;15.06.1999;15.06.1999;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;08.08.2001;08.08.2001;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;22.08.2001;22.08.2001;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;08.09.2001;09.09.2001;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;30.01.2002;30.01.2002;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;13.03.2002;13.03.2002;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;03.06.2016;07.06.2016;5;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;24.03.2021;24.03.2021;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;09.09.2023;11.09.2023;3;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;15.09.2023;17.09.2023;3;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;26.09.2023;28.09.2023;3;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;11.06.2025;11.06.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;26.07.2025;26.07.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;FX;04.08.2025;04.08.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;UPM;09.09.2023;11.09.2023;3;;eor;                                                                                                                                                        
2667;Köln/Bonn;UPM;16.09.2023;17.09.2023;2;;eor;                                                                                                                                                        
2667;Köln/Bonn;UPM;26.09.2023;28.09.2023;3;;eor;                                                                                                                                                        
2667;Köln/Bonn;UPM;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                        
2667;Köln/Bonn;UPM;11.06.2025;11.06.2025;1;;eor;                                                                                                                                                        
2667;Köln/Bonn;VPM;09.09.2023;11.09.2023;3;;eor;                                                                                                                                                        
2667;Köln/Bonn;VPM;16.09.2023;17.09.2023;2;;eor;                                                                                                                                                        
2667;Köln/Bonn;VPM;26.09.2023;28.09.2023;3;;eor;                                                                                                                                                        
2667;Köln/Bonn;VPM;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                        
2667;Köln/Bonn;VPM;11.06.2025;11.06.2025;1;;eor;                                                                                                                                                        
2667;Köln/Bonn;NM;30.04.2022;20.05.2022;21;;eor;                                                                                                                                                        
2667;Köln/Bonn;NM;08.09.2023;11.09.2023;4;;eor;                                                                                                                                                         
2667;Köln/Bonn;NM;16.09.2023;17.09.2023;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;NM;26.09.2023;28.09.2023;3;;eor;                                                                                                                                                         
2667;Köln/Bonn;NM;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                         
2667;Köln/Bonn;NM;11.06.2025;12.06.2025;2;;eor;                                                                                                                                                         
2667;Köln/Bonn;RSK;31.05.2025;31.05.2025;1;;eor;                                                                                                                                                        
2667;Köln/Bonn;SHK_TAG;02.05.2022;31.07.2024;822;;eor;                                                                                                                                                  
generiert: 17.06.2026 --  Deutscher Wetterdienst  --                                                                                                                                                    
