Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
2667;Köln/Bonn;7.12;50.86;68;2;19570901;19700320;Hygrograph nach Frankenberg;Feuchteregistrierung, konv.;eor;
2667;Köln/Bonn;7.14;50.87;73;2;19700321;19891114;Hygrograph nach Frankenberg;Feuchteregistrierung, konv.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;19891115;20020127;Hygrograph nach Frankenberg;Feuchteregistrierung, konv.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;19931201;20031205;HYGROMER MP100;Feuchtemessung, elektr.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;20020128;20040423;Thermohygrograph;Temperatur- und Feuchtereg., konv.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;20031206;20040423;Feuchtesonde HMP45D;Feuchtemessung, elektr.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;20040424;20150618;Feuchtesonde HMP45D;Feuchtemessung, elektr.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;20040424;20081202;Thermohygrograph;Temperatur- und Feuchtereg., konv.;eor;
2667;Köln/Bonn;7.16;50.86;90.91;2;20140923;20260419;EE33;Feuchtemessung, elektr.;eor;
generiert: 17.06.2026 --  Deutscher Wetterdienst  --
