Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1048;Dresden-Klotzsche;TMK;01.03.1945;07.03.1960;5486;;eor;                                                                                                                                             
1048;Dresden-Klotzsche;TMK;09.03.1960;11.04.1960;34;;eor;                                                                                                                                               
1048;Dresden-Klotzsche;TMK;13.04.1960;17.05.1960;35;;eor;                                                                                                                                               
1048;Dresden-Klotzsche;TMK;20.05.1960;30.09.1960;134;;eor;                                                                                                                                              
1048;Dresden-Klotzsche;TXK;01.03.1945;02.01.1960;5421;;eor;                                                                                                                                             
1048;Dresden-Klotzsche;TXK;04.01.1960;04.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;08.01.1960;10.01.1960;3;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;13.01.1960;13.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;15.01.1960;17.01.1960;3;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;23.01.1960;24.01.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;26.01.1960;26.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;30.01.1960;31.01.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;06.02.1960;07.02.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;13.02.1960;14.02.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;20.02.1960;21.02.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;27.02.1960;28.02.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;01.03.1960;01.03.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;05.03.1960;06.03.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;09.03.1960;09.03.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;11.03.1960;13.03.1960;3;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;16.03.1960;20.03.1960;5;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;26.03.1960;26.03.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;29.03.1960;29.03.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;03.04.1960;03.04.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;10.04.1960;10.04.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;16.04.1960;17.04.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;23.04.1960;24.04.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;30.04.1960;01.05.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;07.05.1960;08.05.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;14.05.1960;15.05.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;04.06.1960;05.06.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;11.06.1960;11.06.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;26.06.1960;26.06.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TXK;16.07.1960;16.07.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;01.03.1945;04.01.1960;5423;;eor;                                                                                                                                             
1048;Dresden-Klotzsche;TNK;08.01.1960;10.01.1960;3;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;13.01.1960;13.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;15.01.1960;15.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;17.01.1960;17.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;24.01.1960;24.01.1960;1;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;30.01.1960;31.01.1960;2;;eor;                                                                                                                                                
1048;Dresden-Klotzsche;TNK;06.02.1960;07.02.1960;2;;eor;                                                                                                                                                
