Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3379;München-Stadt;TGK;26.01.1985;26.01.1985;1;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;04.02.1985;05.02.1985;2;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;07.10.1985;11.10.1985;5;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;21.06.1986;21.06.1986;1;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;06.10.1990;06.10.1990;1;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;27.08.1991;28.08.1991;2;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;07.03.1994;07.03.1994;1;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;05.07.1996;05.07.1996;1;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;10.07.1997;10.07.1997;1;;eor;                                                                                                                                                    
3379;München-Stadt;TGK;01.03.2002;01.03.2002;1;;eor;                                                                                                                                                    
3379;München-Stadt;PM;11.07.1997;13.07.1997;3;;eor;                                                                                                                                                     
3379;München-Stadt;PM;03.09.2016;04.09.2016;2;;eor;                                                                                                                                                     
3379;München-Stadt;PM;22.04.2025;25.04.2025;4;;eor;                                                                                                                                                     
3379;München-Stadt;FM;02.04.1985;02.04.1985;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;15.10.1985;16.10.1985;2;;eor;                                                                                                                                                     
3379;München-Stadt;FM;13.07.1997;13.07.1997;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;01.08.1997;01.08.1997;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;29.10.1997;29.10.1997;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;01.11.1997;01.11.1997;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;12.11.1997;12.11.1997;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;19.11.1997;19.11.1997;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;26.12.1999;26.12.1999;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;22.08.2001;22.08.2001;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;19.09.2001;19.09.2001;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;01.11.2001;01.11.2001;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;12.04.2004;12.04.2004;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;14.12.2013;14.12.2013;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;01.01.2015;20.02.2015;51;;eor;                                                                                                                                                    
3379;München-Stadt;FM;03.09.2016;05.09.2016;3;;eor;                                                                                                                                                     
3379;München-Stadt;FM;20.07.2020;20.07.2020;1;;eor;                                                                                                                                                     
3379;München-Stadt;FM;22.04.2025;25.04.2025;4;;eor;                                                                                                                                                     
3379;München-Stadt;FM;17.11.2025;17.11.2025;1;;eor;                                                                                                                                                     
3379;München-Stadt;FX;03.12.1988;03.12.1988;1;;eor;                                                                                                                                                     
3379;München-Stadt;FX;29.05.1995;29.05.1995;1;;eor;                                                                                                                                                     
3379;München-Stadt;FX;01.06.1995;02.06.1995;2;;eor;                                                                                                                                                     
3379;München-Stadt;FX;04.06.1995;05.06.1995;2;;eor;                                                                                                                                                     
