Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
3379;München (Bavariaring);11.55;48.14;520;;19540601;19970707;Schneepegel;Schneehöhenmessung, manuell;eor;
3379;München-Stadt;11.54;48.16;515.37;;19970708;20100930;Schneepegel;Schneehöhenmessung, manuell;eor;
3379;München-Stadt;11.54;48.16;515.37;2.3;20070221;20090430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2.3;20091001;20100504;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2.3;20101001;20110430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2.3;20111001;20120501;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2.3;20121001;20130430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2.37;20131001;20181212;Schneehöhensensor SHM 30;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2;20181213;20240620;Schneehöhensensor SHM 30;Schneehöhenmessung, elektr.;eor;
3379;München-Stadt;11.54;48.16;515.37;2;20240621;20260419;Schneehöhensensor SHM 31;Schneehöhenmessung, elektr.;eor;
generiert: 17.06.2026 --  Deutscher Wetterdienst  --
